Epoch	Test Loss	Landmark Error
232	0.000307	17.735376
233	0.000295	17.711655
234	0.000228	17.709693
235	0.000279	17.735013
236	0.000264	17.812886
237	0.000187	17.779870
238	0.000229	17.668508
239	0.000248	17.826318
240	0.000230	17.788382
241	0.000298	17.775633
242	0.000349	17.762859
243	0.000216	17.811302
244	0.000203	17.684714
245	0.000254	17.744171
246	0.000234	17.756203
247	0.000279	17.799422
248	0.000264	17.738284
249	0.000241	17.674790
250	0.000204	17.744032
