Epoch	Test Loss	Landmark Error
1	9.994585	8.098742
2	0.523402	4.249800
3	0.172396	2.850856
4	0.097804	2.451084
5	0.087070	2.310723
6	0.070693	2.160959
7	0.062597	2.058743
8	0.058078	1.981072
9	0.052795	1.884987
10	0.049358	1.864910
11	0.046746	1.791259
12	0.043619	1.737237
13	0.041741	1.689071
14	0.040891	1.658880
15	0.037801	1.646543
16	0.042731	1.636025
17	0.034971	1.581054
18	0.036417	1.541460
19	0.033363	1.503659
20	0.030405	1.478216
21	0.031062	1.467713
22	0.030107	1.467353
23	0.028440	1.424522
24	0.032371	1.411800
25	0.027439	1.397697
26	0.027197	1.374125
27	0.025706	1.358021
28	0.027010	1.356939
29	0.027411	1.335906
30	0.027716	1.343803
31	0.024494	1.315381
32	0.023619	1.299984
33	0.022875	1.282696
34	0.022619	1.252422
35	0.022519	1.246736
36	0.022401	1.234592
37	0.021191	1.208028
38	0.021646	1.212019
39	0.022516	1.194415
40	0.020333	1.196444
41	0.021930	1.166574
42	0.019591	1.161692
43	0.021988	1.151336
44	0.020328	1.157356
45	0.019628	1.130168
46	0.018574	1.118951
47	0.018920	1.114668
48	0.019216	1.108876
49	0.018000	1.084685
50	0.017970	1.086977
51	0.018267	1.072161
52	0.018701	1.074969
53	0.017342	1.059629
54	0.019471	1.052305
55	0.018355	1.045087
56	0.016987	1.024108
57	0.018109	1.029530
58	0.016685	1.014235
59	0.015629	1.008227
60	0.017868	0.993868
61	0.017195	1.001841
62	0.018049	0.991276
63	0.021173	1.000629
64	0.015776	0.957774
65	0.016513	0.972419
66	0.015689	0.954132
67	0.020882	0.947569
68	0.016520	0.933450
69	0.015170	0.928936
70	0.024960	0.905417
71	0.018021	0.915554
72	0.014955	0.895006
73	0.019891	0.892444
74	0.015304	0.880531
75	0.017615	0.868638
76	0.017137	0.874579
77	0.015520	0.863111
78	0.019243	0.854433
79	0.018390	0.859163
80	0.016062	0.843366
81	0.014699	0.834140
82	0.013395	0.837772
83	0.015330	0.839338
84	0.015266	0.834553
85	0.018234	0.838081
86	0.015651	0.813378
87	0.013263	0.813794
88	0.019374	0.794860
89	0.016938	0.802378
90	0.013340	0.806777
91	0.016006	0.788816
